hshd_num,l,age_range,marital,income_range,homeowner,hshd_composition,hh_size,children
4682,Y,NOT AVAILABLE,Unknown,50-74K,Renter,NA,null,NOT AVAILABLE
0269,Y,NOT AVAILABLE,Unknown,75-99K,Unknown,NA,null,NOT AVAILABLE
0880,N,NOT AVAILABLE,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
3395,Y,NOT AVAILABLE,Unknown,75-99K,Homeowner,NA,null,NOT AVAILABLE
1096,Y,NOT AVAILABLE,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
4811,Y,NOT AVAILABLE,Unknown,100-150K,Homeowner,NA,null,NOT AVAILABLE
4357,Y,NOT AVAILABLE,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
4474,Y,NOT AVAILABLE,Unknown,UNDER 35K,Homeowner,NA,null,NOT AVAILABLE
1549,Y,45-54,Married,35-49K,Homeowner,null,3,1
0020,Y,null,null,null,null,null,null,null
0025,Y,null,null,null,null,null,null,null
0050,Y,null,null,null,null,null,null,null
0071,Y,null,null,null,null,null,null,null
0073,Y,null,null,null,null,null,null,null
0078,Y,null,null,null,null,null,null,null
0086,Y,null,null,null,null,null,null,null
0089,Y,null,null,null,null,null,null,null
0090,Y,null,null,null,null,null,null,null
0091,Y,null,null,null,null,null,null,null
0094,N,null,null,null,null,null,null,null
0105,Y,null,null,null,null,null,null,null
0113,N,null,null,null,null,null,null,null
0114,Y,null,null,null,null,null,null,null
0120,Y,null,null,null,null,null,null,null
0126,N,null,null,null,null,null,null,null
0140,Y,null,null,null,null,null,null,null
0148,N,null,null,null,null,null,null,null
0161,Y,null,null,null,null,null,null,null
0164,N,null,null,null,null,null,null,null
0176,Y,null,null,null,null,null,null,null
0181,Y,null,null,null,null,null,null,null
0186,Y,null,null,null,null,null,null,null
0191,Y,null,null,null,null,null,null,null
0206,Y,null,null,null,null,null,null,null
0227,Y,null,null,null,null,null,null,null
0230,Y,null,null,null,null,null,null,null
0253,Y,null,null,null,null,null,null,null
0259,Y,null,null,null,null,null,null,null
0267,Y,null,null,null,null,null,null,null
0280,Y,null,null,null,null,null,null,null
0284,Y,null,null,null,null,null,null,null
0312,Y,null,null,null,null,null,null,null
0318,Y,null,null,null,null,null,null,null
0325,Y,null,null,null,null,null,null,null
0333,Y,null,null,null,null,null,null,null
0341,Y,null,null,null,null,null,null,null
0355,Y,null,null,null,null,null,null,null
0366,Y,null,null,null,null,null,null,null
0370,N,null,null,null,null,null,null,null
0376,Y,null,null,null,null,null,null,null
0380,Y,null,null,null,null,null,null,null
0398,Y,null,null,null,null,null,null,null
0399,N,null,null,null,null,null,null,null
0421,Y,null,null,null,null,null,null,null
0430,Y,null,null,null,null,null,null,null
0434,Y,null,null,null,null,null,null,null
0455,Y,null,null,null,null,null,null,null
0457,Y,null,null,null,null,null,null,null
0463,Y,null,null,null,null,null,null,null
0473,Y,null,null,null,null,null,null,null
0476,Y,null,null,null,null,null,null,null
0482,Y,null,null,null,null,null,null,null
0494,Y,null,null,null,null,null,null,null
0515,N,null,null,null,null,null,null,null
0516,Y,null,null,null,null,null,null,null
0520,N,null,null,null,null,null,null,null
0527,Y,null,null,null,null,null,null,null
0540,Y,null,null,null,null,null,null,null
0541,N,null,null,null,null,null,null,null
0544,Y,null,null,null,null,null,null,null
0555,Y,null,null,null,null,null,null,null
0562,Y,null,null,null,null,null,null,null
0574,Y,null,null,null,null,null,null,null
0577,Y,null,null,null,null,null,null,null
0593,N,null,null,null,null,null,null,null
0604,N,null,null,null,null,null,null,null
0611,Y,null,null,null,null,null,null,null
0617,N,null,null,null,null,null,null,null
0643,Y,null,null,null,null,null,null,null
0646,N,null,null,null,null,null,null,null
0650,Y,null,null,null,null,null,null,null
0661,Y,null,null,null,null,null,null,null
0687,Y,null,null,null,null,null,null,null
0707,Y,null,null,null,null,null,null,null
0716,Y,null,null,null,null,null,null,null
0752,N,null,null,null,null,null,null,null
0760,Y,null,null,null,null,null,null,null
0765,Y,null,null,null,null,null,null,null
0791,Y,null,null,null,null,null,null,null
0799,Y,null,null,null,null,null,null,null
0809,N,null,null,null,null,null,null,null
0814,N,null,null,null,null,null,null,null
0841,Y,null,null,null,null,null,null,null
0866,Y,null,null,null,null,null,null,null
0870,Y,null,null,null,null,null,null,null
0876,Y,null,null,null,null,null,null,null
0883,N,null,null,null,null,null,null,null
0901,N,null,null,null,null,null,null,null
0914,Y,null,null,null,null,null,null,null
0930,Y,null,null,null,null,null,null,null
0945,Y,null,null,null,null,null,null,null
0947,Y,null,null,null,null,null,null,null
0950,N,null,null,null,null,null,null,null
0967,Y,null,null,null,null,null,null,null
0971,Y,null,null,null,null,null,null,null
0973,N,null,null,null,null,null,null,null
0977,Y,null,null,null,null,null,null,null
0980,Y,null,null,null,null,null,null,null
0991,Y,null,null,null,null,null,null,null
1000,Y,null,null,null,null,null,null,null
1003,Y,null,null,null,null,null,null,null
1006,Y,null,null,null,null,null,null,null
1016,Y,null,null,null,null,null,null,null
1023,Y,null,null,null,null,null,null,null
1025,N,null,null,null,null,null,null,null
1052,Y,null,null,null,null,null,null,null
1061,Y,null,null,null,null,null,null,null
1117,Y,null,null,null,null,null,null,null
1128,Y,null,null,null,null,null,null,null
1149,Y,null,null,null,null,null,null,null
1151,Y,null,null,null,null,null,null,null
1159,Y,null,null,null,null,null,null,null
1173,N,null,null,null,null,null,null,null
1182,Y,null,null,null,null,null,null,null
1227,Y,null,null,null,null,null,null,null
1238,Y,null,null,null,null,null,null,null
1240,Y,null,null,null,null,null,null,null
1255,Y,null,null,null,null,null,null,null
1258,Y,null,null,null,null,null,null,null
1267,Y,null,null,null,null,null,null,null
1285,Y,null,null,null,null,null,null,null
1287,Y,null,null,null,null,null,null,null
1291,Y,null,null,null,null,null,null,null
1298,N,null,null,null,null,null,null,null
1299,Y,null,null,null,null,null,null,null
1310,Y,null,null,null,null,null,null,null
1318,Y,null,null,null,null,null,null,null
1320,Y,null,null,null,null,null,null,null
1335,Y,null,null,null,null,null,null,null
1344,N,null,null,null,null,null,null,null
1352,Y,null,null,null,null,null,null,null
1360,Y,null,null,null,null,null,null,null
1361,N,null,null,null,null,null,null,null
1365,Y,null,null,null,null,null,null,null
1396,Y,null,null,null,null,null,null,null
1417,Y,null,null,null,null,null,null,null
1424,Y,null,null,null,null,null,null,null
1435,Y,null,null,null,null,null,null,null
1439,Y,null,null,null,null,null,null,null
1456,Y,null,null,null,null,null,null,null
1458,Y,null,null,null,null,null,null,null
1459,N,null,null,null,null,null,null,null
1462,Y,null,null,null,null,null,null,null
1477,Y,null,null,null,null,null,null,null
1485,Y,null,null,null,null,null,null,null
1490,Y,null,null,null,null,null,null,null
1493,Y,null,null,null,null,null,null,null
1494,Y,null,null,null,null,null,null,null
1498,Y,null,null,null,null,null,null,null
1503,Y,null,null,null,null,null,null,null
1512,Y,null,null,null,null,null,null,null
1513,N,null,null,null,null,null,null,null
1547,Y,null,null,null,null,null,null,null
1553,Y,null,null,null,null,null,null,null
1565,Y,null,null,null,null,null,null,null
1573,Y,null,null,null,null,null,null,null
1576,N,null,null,null,null,null,null,null
1578,Y,null,null,null,null,null,null,null
1589,Y,null,null,null,null,null,null,null
1595,Y,null,null,null,null,null,null,null
1601,Y,null,null,null,null,null,null,null
1605,Y,null,null,null,null,null,null,null
1607,Y,null,null,null,null,null,null,null
1612,Y,null,null,null,null,null,null,null
1624,N,null,null,null,null,null,null,null
1637,Y,null,null,null,null,null,null,null
1649,N,null,null,null,null,null,null,null
1658,Y,null,null,null,null,null,null,null
1665,Y,null,null,null,null,null,null,null
1666,Y,null,null,null,null,null,null,null
1667,N,null,null,null,null,null,null,null
1671,Y,null,null,null,null,null,null,null
1674,Y,null,null,null,null,null,null,null
1679,Y,null,null,null,null,null,null,null
1685,Y,null,null,null,null,null,null,null
1693,Y,null,null,null,null,null,null,null
1697,Y,null,null,null,null,null,null,null
1712,Y,null,null,null,null,null,null,null
1713,Y,null,null,null,null,null,null,null
1714,Y,null,null,null,null,null,null,null
1715,N,null,null,null,null,null,null,null
1716,Y,null,null,null,null,null,null,null
1717,Y,null,null,null,null,null,null,null
1720,Y,null,null,null,null,null,null,null
1724,N,null,null,null,null,null,null,null
1734,Y,null,null,null,null,null,null,null
1736,Y,null,null,null,null,null,null,null
1743,Y,null,null,null,null,null,null,null
1745,Y,null,null,null,null,null,null,null
1747,Y,null,null,null,null,null,null,null
1752,Y,null,null,null,null,null,null,null
1767,Y,null,null,null,null,null,null,null
1768,Y,null,null,null,null,null,null,null
1772,Y,null,null,null,null,null,null,null
1775,N,null,null,null,null,null,null,null
1784,Y,null,null,null,null,null,null,null
1785,N,null,null,null,null,null,null,null
1788,Y,null,null,null,null,null,null,null
1792,Y,null,null,null,null,null,null,null
1798,Y,null,null,null,null,null,null,null
1801,Y,null,null,null,null,null,null,null
1805,N,null,null,null,null,null,null,null
1830,N,null,null,null,null,null,null,null
1838,N,null,null,null,null,null,null,null
1840,Y,null,null,null,null,null,null,null
1851,N,null,null,null,null,null,null,null
1852,Y,null,null,null,null,null,null,null
1860,Y,null,null,null,null,null,null,null
1867,Y,null,null,null,null,null,null,null
1873,Y,null,null,null,null,null,null,null
1874,N,null,null,null,null,null,null,null
1875,Y,null,null,null,null,null,null,null
1878,Y,null,null,null,null,null,null,null
1880,Y,null,null,null,null,null,null,null
1885,Y,null,null,null,null,null,null,null
1888,Y,null,null,null,null,null,null,null
1891,Y,null,null,null,null,null,null,null
1897,Y,null,null,null,null,null,null,null
1900,N,null,null,null,null,null,null,null
1903,Y,null,null,null,null,null,null,null
1917,Y,null,null,null,null,null,null,null
1919,Y,null,null,null,null,null,null,null
1929,Y,null,null,null,null,null,null,null
1930,Y,null,null,null,null,null,null,null
1933,N,null,null,null,null,null,null,null
1941,Y,null,null,null,null,null,null,null
1951,Y,null,null,null,null,null,null,null
1957,Y,null,null,null,null,null,null,null
1964,Y,null,null,null,null,null,null,null
1986,Y,null,null,null,null,null,null,null
1995,Y,null,null,null,null,null,null,null
1998,Y,null,null,null,null,null,null,null
2000,Y,null,null,null,null,null,null,null
2008,Y,null,null,null,null,null,null,null
2009,Y,null,null,null,null,null,null,null
2021,N,null,null,null,null,null,null,null
2027,Y,null,null,null,null,null,null,null
2029,Y,null,null,null,null,null,null,null
2072,Y,null,null,null,null,null,null,null
2073,Y,null,null,null,null,null,null,null
2077,Y,null,null,null,null,null,null,null
2079,Y,null,null,null,null,null,null,null
2080,Y,null,null,null,null,null,null,null
2085,Y,null,null,null,null,null,null,null
2090,Y,null,null,null,null,null,null,null
2101,Y,null,null,null,null,null,null,null
2105,Y,null,null,null,null,null,null,null
2108,Y,null,null,null,null,null,null,null
2111,Y,null,null,null,null,null,null,null
2114,Y,null,null,null,null,null,null,null
2115,Y,null,null,null,null,null,null,null
2119,Y,null,null,null,null,null,null,null
2133,Y,null,null,null,null,null,null,null
2146,Y,null,null,null,null,null,null,null
2149,Y,null,null,null,null,null,null,null
2151,Y,null,null,null,null,null,null,null
2152,Y,null,null,null,null,null,null,null
2162,Y,null,null,null,null,null,null,null
2172,Y,null,null,null,null,null,null,null
2175,Y,null,null,null,null,null,null,null
2178,N,null,null,null,null,null,null,null
2180,Y,null,null,null,null,null,null,null
2190,Y,null,null,null,null,null,null,null
2192,Y,null,null,null,null,null,null,null
2198,Y,null,null,null,null,null,null,null
2201,Y,null,null,null,null,null,null,null
2222,Y,null,null,null,null,null,null,null
2231,Y,null,null,null,null,null,null,null
2241,Y,null,null,null,null,null,null,null
2252,Y,null,null,null,null,null,null,null
2254,Y,null,null,null,null,null,null,null
2260,Y,null,null,null,null,null,null,null
2268,Y,null,null,null,null,null,null,null
2274,Y,null,null,null,null,null,null,null
2280,Y,null,null,null,null,null,null,null
2284,N,null,null,null,null,null,null,null
2286,Y,null,null,null,null,null,null,null
2288,Y,null,null,null,null,null,null,null
2291,N,null,null,null,null,null,null,null
2300,Y,null,null,null,null,null,null,null
2304,Y,null,null,null,null,null,null,null
2314,Y,null,null,null,null,null,null,null
2315,Y,null,null,null,null,null,null,null
2318,N,null,null,null,null,null,null,null
2321,Y,null,null,null,null,null,null,null
2322,Y,null,null,null,null,null,null,null
2325,Y,null,null,null,null,null,null,null
2331,N,null,null,null,null,null,null,null
2333,Y,null,null,null,null,null,null,null
2335,Y,null,null,null,null,null,null,null
2344,Y,null,null,null,null,null,null,null
2345,Y,null,null,null,null,null,null,null
2348,Y,null,null,null,null,null,null,null
2363,N,null,null,null,null,null,null,null
2365,Y,null,null,null,null,null,null,null
2374,Y,null,null,null,null,null,null,null
2379,Y,null,null,null,null,null,null,null
2382,Y,null,null,null,null,null,null,null
2383,Y,null,null,null,null,null,null,null
2390,Y,null,null,null,null,null,null,null
2391,Y,null,null,null,null,null,null,null
2396,Y,null,null,null,null,null,null,null
2419,Y,null,null,null,null,null,null,null
2423,Y,null,null,null,null,null,null,null
2484,N,null,null,null,null,null,null,null
2492,Y,null,null,null,null,null,null,null
2499,Y,null,null,null,null,null,null,null
2502,Y,null,null,null,null,null,null,null
2515,Y,null,null,null,null,null,null,null
2516,Y,null,null,null,null,null,null,null
2522,Y,null,null,null,null,null,null,null
2537,Y,null,null,null,null,null,null,null
2540,Y,null,null,null,null,null,null,null
2541,Y,null,null,null,null,null,null,null
2554,Y,null,null,null,null,null,null,null
2571,Y,null,null,null,null,null,null,null
2575,Y,null,null,null,null,null,null,null
2596,N,null,null,null,null,null,null,null
2597,Y,null,null,null,null,null,null,null
2613,N,null,null,null,null,null,null,null
2620,Y,null,null,null,null,null,null,null
2621,Y,null,null,null,null,null,null,null
2624,Y,null,null,null,null,null,null,null
2628,Y,null,null,null,null,null,null,null
2633,Y,null,null,null,null,null,null,null
2636,Y,null,null,null,null,null,null,null
2647,N,null,null,null,null,null,null,null
2656,Y,null,null,null,null,null,null,null
2657,Y,null,null,null,null,null,null,null
2670,Y,null,null,null,null,null,null,null
2677,Y,null,null,null,null,null,null,null
2701,Y,null,null,null,null,null,null,null
2711,N,null,null,null,null,null,null,null
2730,Y,null,null,null,null,null,null,null
2732,Y,null,null,null,null,null,null,null
2738,Y,null,null,null,null,null,null,null
2745,Y,null,null,null,null,null,null,null
2747,Y,null,null,null,null,null,null,null
2755,Y,null,null,null,null,null,null,null
2759,Y,null,null,null,null,null,null,null
2762,Y,null,null,null,null,null,null,null
2777,Y,null,null,null,null,null,null,null
2779,Y,null,null,null,null,null,null,null
2780,Y,null,null,null,null,null,null,null
2783,Y,null,null,null,null,null,null,null
2793,Y,null,null,null,null,null,null,null
2794,Y,null,null,null,null,null,null,null
2797,N,null,null,null,null,null,null,null
2799,Y,null,null,null,null,null,null,null
2809,N,null,null,null,null,null,null,null
2815,Y,null,null,null,null,null,null,null
2816,Y,null,null,null,null,null,null,null
2818,Y,null,null,null,null,null,null,null
2826,Y,null,null,null,null,null,null,null
2847,Y,null,null,null,null,null,null,null
2854,Y,null,null,null,null,null,null,null
2863,N,null,null,null,null,null,null,null
2869,Y,null,null,null,null,null,null,null
2870,Y,null,null,null,null,null,null,null
2875,Y,null,null,null,null,null,null,null
2881,Y,null,null,null,null,null,null,null
2900,Y,null,null,null,null,null,null,null
2901,Y,null,null,null,null,null,null,null
2909,Y,null,null,null,null,null,null,null
2916,Y,null,null,null,null,null,null,null
2923,Y,null,null,null,null,null,null,null
2924,Y,null,null,null,null,null,null,null
2927,Y,null,null,null,null,null,null,null
2931,Y,null,null,null,null,null,null,null
2950,Y,null,null,null,null,null,null,null
2954,Y,null,null,null,null,null,null,null
2959,Y,null,null,null,null,null,null,null
2962,N,null,null,null,null,null,null,null
2963,Y,null,null,null,null,null,null,null
2965,Y,null,null,null,null,null,null,null
2970,Y,null,null,null,null,null,null,null
2973,Y,null,null,null,null,null,null,null
2979,Y,null,null,null,null,null,null,null
2988,N,null,null,null,null,null,null,null
2996,N,null,null,null,null,null,null,null
2998,Y,null,null,null,null,null,null,null
3006,Y,null,null,null,null,null,null,null
3013,N,null,null,null,null,null,null,null
3015,Y,null,null,null,null,null,null,null
3023,N,null,null,null,null,null,null,null
3025,N,null,null,null,null,null,null,null
3028,N,null,null,null,null,null,null,null
3032,Y,null,null,null,null,null,null,null
3034,Y,null,null,null,null,null,null,null
3036,Y,null,null,null,null,null,null,null
3046,Y,null,null,null,null,null,null,null
3048,Y,null,null,null,null,null,null,null
3055,Y,null,null,null,null,null,null,null
3056,Y,null,null,null,null,null,null,null
3062,Y,null,null,null,null,null,null,null
3064,N,null,null,null,null,null,null,null
3093,N,null,null,null,null,null,null,null
3095,N,null,null,null,null,null,null,null
3101,Y,null,null,null,null,null,null,null
3120,Y,null,null,null,null,null,null,null
3121,Y,null,null,null,null,null,null,null
3122,Y,null,null,null,null,null,null,null
3130,Y,null,null,null,null,null,null,null
3132,Y,null,null,null,null,null,null,null
3139,Y,null,null,null,null,null,null,null
3142,Y,null,null,null,null,null,null,null
3144,Y,null,null,null,null,null,null,null
3145,Y,null,null,null,null,null,null,null
3148,Y,null,null,null,null,null,null,null
3172,N,null,null,null,null,null,null,null
3179,Y,null,null,null,null,null,null,null
3189,N,null,null,null,null,null,null,null
3190,Y,null,null,null,null,null,null,null
3197,Y,null,null,null,null,null,null,null
3221,Y,null,null,null,null,null,null,null
3226,Y,null,null,null,null,null,null,null
3227,Y,null,null,null,null,null,null,null
3229,Y,null,null,null,null,null,null,null
3230,Y,null,null,null,null,null,null,null
3236,Y,null,null,null,null,null,null,null
3251,Y,null,null,null,null,null,null,null
3256,Y,null,null,null,null,null,null,null
3265,Y,null,null,null,null,null,null,null
3301,Y,null,null,null,null,null,null,null
3312,Y,null,null,null,null,null,null,null
3316,N,null,null,null,null,null,null,null
3317,Y,null,null,null,null,null,null,null
3322,Y,null,null,null,null,null,null,null
3325,Y,null,null,null,null,null,null,null
3330,Y,null,null,null,null,null,null,null
3359,Y,null,null,null,null,null,null,null
3361,Y,null,null,null,null,null,null,null
3369,Y,null,null,null,null,null,null,null
3381,Y,null,null,null,null,null,null,null
3388,Y,null,null,null,null,null,null,null
3392,Y,null,null,null,null,null,null,null
3401,Y,null,null,null,null,null,null,null
3405,Y,null,null,null,null,null,null,null
3410,Y,null,null,null,null,null,null,null
3412,Y,null,null,null,null,null,null,null
3416,N,null,null,null,null,null,null,null
3433,Y,null,null,null,null,null,null,null
3434,Y,null,null,null,null,null,null,null
3438,N,null,null,null,null,null,null,null
3441,Y,null,null,null,null,null,null,null
3477,Y,null,null,null,null,null,null,null
3478,Y,null,null,null,null,null,null,null
3509,N,null,null,null,null,null,null,null
3516,Y,null,null,null,null,null,null,null
3517,Y,null,null,null,null,null,null,null
3523,Y,null,null,null,null,null,null,null
3533,N,null,null,null,null,null,null,null
3536,Y,null,null,null,null,null,null,null
3544,Y,null,null,null,null,null,null,null
3551,Y,null,null,null,null,null,null,null
3568,Y,null,null,null,null,null,null,null
3571,N,null,null,null,null,null,null,null
3584,Y,null,null,null,null,null,null,null
3588,N,null,null,null,null,null,null,null
3591,N,null,null,null,null,null,null,null
3595,Y,null,null,null,null,null,null,null
3596,Y,null,null,null,null,null,null,null
3597,N,null,null,null,null,null,null,null
3606,Y,null,null,null,null,null,null,null
3607,Y,null,null,null,null,null,null,null
3608,Y,null,null,null,null,null,null,null
3621,N,null,null,null,null,null,null,null
3626,Y,null,null,null,null,null,null,null
3647,Y,null,null,null,null,null,null,null
3651,Y,null,null,null,null,null,null,null
3653,Y,null,null,null,null,null,null,null
3675,Y,null,null,null,null,null,null,null
3683,Y,null,null,null,null,null,null,null
3687,Y,null,null,null,null,null,null,null
3697,Y,null,null,null,null,null,null,null
3714,Y,null,null,null,null,null,null,null
3718,N,null,null,null,null,null,null,null
3719,Y,null,null,null,null,null,null,null
3722,Y,null,null,null,null,null,null,null
3739,Y,null,null,null,null,null,null,null
3745,Y,null,null,null,null,null,null,null
3754,Y,null,null,null,null,null,null,null
3766,Y,null,null,null,null,null,null,null
3781,N,null,null,null,null,null,null,null
3791,Y,null,null,null,null,null,null,null
3807,Y,null,null,null,null,null,null,null
3811,Y,null,null,null,null,null,null,null
3815,N,null,null,null,null,null,null,null
3837,Y,null,null,null,null,null,null,null
3847,Y,null,null,null,null,null,null,null
3855,N,null,null,null,null,null,null,null
3860,Y,null,null,null,null,null,null,null
3898,N,null,null,null,null,null,null,null
3899,Y,null,null,null,null,null,null,null
3906,Y,null,null,null,null,null,null,null
3920,Y,null,null,null,null,null,null,null
3921,Y,null,null,null,null,null,null,null
3926,Y,null,null,null,null,null,null,null
3927,Y,null,null,null,null,null,null,null
3958,Y,null,null,null,null,null,null,null
3965,Y,null,null,null,null,null,null,null
3969,Y,null,null,null,null,null,null,null
3978,Y,null,null,null,null,null,null,null
3981,Y,null,null,null,null,null,null,null
3995,Y,null,null,null,null,null,null,null
3998,Y,null,null,null,null,null,null,null
4015,Y,null,null,null,null,null,null,null
4023,Y,null,null,null,null,null,null,null
4031,Y,null,null,null,null,null,null,null
4038,Y,null,null,null,null,null,null,null
4045,Y,null,null,null,null,null,null,null
4068,N,null,null,null,null,null,null,null
4077,Y,null,null,null,null,null,null,null
4089,N,null,null,null,null,null,null,null
4096,Y,null,null,null,null,null,null,null
4114,Y,null,null,null,null,null,null,null
4127,N,null,null,null,null,null,null,null
4148,N,null,null,null,null,null,null,null
4149,Y,null,null,null,null,null,null,null
4152,Y,null,null,null,null,null,null,null
4153,Y,null,null,null,null,null,null,null
4155,N,null,null,null,null,null,null,null
4163,N,null,null,null,null,null,null,null
4165,N,null,null,null,null,null,null,null
4170,Y,null,null,null,null,null,null,null
4171,Y,null,null,null,null,null,null,null
4173,Y,null,null,null,null,null,null,null
4177,Y,null,null,null,null,null,null,null
4180,Y,null,null,null,null,null,null,null
4186,Y,null,null,null,null,null,null,null
4188,Y,null,null,null,null,null,null,null
4192,Y,null,null,null,null,null,null,null
4198,N,null,null,null,null,null,null,null
4200,Y,null,null,null,null,null,null,null
4202,Y,null,null,null,null,null,null,null
4207,N,null,null,null,null,null,null,null
4209,Y,null,null,null,null,null,null,null
4211,N,null,null,null,null,null,null,null
4214,Y,null,null,null,null,null,null,null
4218,Y,null,null,null,null,null,null,null
4225,Y,null,null,null,null,null,null,null
4233,N,null,null,null,null,null,null,null
4234,Y,null,null,null,null,null,null,null
4235,Y,null,null,null,null,null,null,null
4236,Y,null,null,null,null,null,null,null
4243,N,null,null,null,null,null,null,null
4246,Y,null,null,null,null,null,null,null
4250,Y,null,null,null,null,null,null,null
4255,N,null,null,null,null,null,null,null
4257,Y,null,null,null,null,null,null,null
